model,rank,lambda,epoch,corruption,topK,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VAE-CF,50,1e-05,300,0.2,,"[0.0493, 0.0024]","[0.0467, 0.002]","[0.0447, 0.0018]","[0.0524, 0.0033]","[0.038, 0.0012]","[0.1373, 0.0036]","[0.044, 0.0018]","[0.0401, 0.0014]","[0.0376, 0.0012]","[0.0484, 0.0025]","[0.0304, 0.0008]","[0.0467, 0.0025]","[0.0866, 0.0043]","[0.1178, 0.005]","[0.1464, 0.0056]","[0.0498, 0.0034]","[0.2858, 0.0074]"
VAE-CF,50,1e-05,300,0.3,,"[0.051, 0.0025]","[0.048, 0.0021]","[0.0458, 0.0018]","[0.0558, 0.0034]","[0.0385, 0.0012]","[0.1392, 0.0037]","[0.0442, 0.0018]","[0.0406, 0.0014]","[0.0383, 0.0012]","[0.0497, 0.0025]","[0.0305, 0.0008]","[0.0473, 0.0026]","[0.0875, 0.0044]","[0.1192, 0.0051]","[0.1471, 0.0055]","[0.0492, 0.0033]","[0.2866, 0.0074]"
VAE-CF,50,1e-05,300,0.4,,"[0.0497, 0.0024]","[0.0472, 0.002]","[0.0451, 0.0018]","[0.0532, 0.0033]","[0.0383, 0.0012]","[0.1372, 0.0037]","[0.0447, 0.0018]","[0.0406, 0.0014]","[0.038, 0.0012]","[0.0495, 0.0025]","[0.0304, 0.0008]","[0.0471, 0.0025]","[0.0868, 0.0043]","[0.1175, 0.005]","[0.1464, 0.0055]","[0.0495, 0.0033]","[0.2837, 0.0074]"
VAE-CF,50,1e-05,300,0.5,,"[0.0504, 0.0025]","[0.0476, 0.0021]","[0.0454, 0.0018]","[0.0549, 0.0033]","[0.0382, 0.0012]","[0.1368, 0.0036]","[0.0438, 0.0018]","[0.0406, 0.0014]","[0.0378, 0.0012]","[0.0505, 0.0026]","[0.0303, 0.0008]","[0.0462, 0.0025]","[0.0852, 0.0043]","[0.1169, 0.005]","[0.1446, 0.0055]","[0.0497, 0.0033]","[0.2838, 0.0074]"
VAE-CF,50,0.0001,300,0.2,,"[0.05, 0.0024]","[0.0472, 0.002]","[0.0451, 0.0018]","[0.0538, 0.0033]","[0.0381, 0.0011]","[0.1383, 0.0037]","[0.0438, 0.0017]","[0.0405, 0.0014]","[0.038, 0.0012]","[0.0499, 0.0025]","[0.0303, 0.0008]","[0.047, 0.0025]","[0.089, 0.0045]","[0.1201, 0.0051]","[0.1488, 0.0056]","[0.0512, 0.0034]","[0.2861, 0.0074]"
VAE-CF,50,0.0001,300,0.3,,"[0.0509, 0.0025]","[0.0478, 0.0021]","[0.0455, 0.0018]","[0.0551, 0.0034]","[0.0382, 0.0012]","[0.1387, 0.0037]","[0.0444, 0.0018]","[0.04, 0.0014]","[0.0377, 0.0012]","[0.0501, 0.0026]","[0.0304, 0.0008]","[0.0481, 0.0026]","[0.0879, 0.0044]","[0.1172, 0.005]","[0.1458, 0.0055]","[0.0507, 0.0034]","[0.2857, 0.0074]"
VAE-CF,50,0.0001,300,0.4,,"[0.0513, 0.0025]","[0.0483, 0.0021]","[0.046, 0.0018]","[0.0558, 0.0034]","[0.0385, 0.0012]","[0.1381, 0.0037]","[0.0447, 0.0018]","[0.0408, 0.0014]","[0.0382, 0.0012]","[0.0509, 0.0026]","[0.0304, 0.0008]","[0.0473, 0.0025]","[0.0866, 0.0043]","[0.1182, 0.005]","[0.1454, 0.0055]","[0.0509, 0.0034]","[0.285, 0.0074]"
VAE-CF,50,0.0001,300,0.5,,"[0.0505, 0.0025]","[0.0477, 0.002]","[0.0455, 0.0018]","[0.0545, 0.0033]","[0.0383, 0.0012]","[0.1371, 0.0037]","[0.0446, 0.0018]","[0.0408, 0.0014]","[0.038, 0.0012]","[0.0491, 0.0025]","[0.0304, 0.0008]","[0.0468, 0.0025]","[0.0865, 0.0043]","[0.1185, 0.005]","[0.1456, 0.0055]","[0.0486, 0.0033]","[0.2832, 0.0074]"
VAE-CF,50,0.001,300,0.2,,"[0.0501, 0.0024]","[0.0474, 0.002]","[0.0453, 0.0018]","[0.0542, 0.0033]","[0.0382, 0.0012]","[0.1384, 0.0037]","[0.0437, 0.0017]","[0.0406, 0.0014]","[0.0382, 0.0012]","[0.0499, 0.0025]","[0.0305, 0.0008]","[0.0476, 0.0025]","[0.0861, 0.0043]","[0.119, 0.0051]","[0.1477, 0.0056]","[0.05, 0.0033]","[0.2862, 0.0074]"
VAE-CF,50,0.001,300,0.3,,"[0.0493, 0.0024]","[0.0466, 0.002]","[0.0446, 0.0018]","[0.0531, 0.0033]","[0.0379, 0.0012]","[0.1363, 0.0036]","[0.0434, 0.0018]","[0.04, 0.0014]","[0.0377, 0.0012]","[0.0481, 0.0025]","[0.0304, 0.0008]","[0.047, 0.0025]","[0.0844, 0.0043]","[0.1151, 0.005]","[0.1443, 0.0055]","[0.0472, 0.0032]","[0.2833, 0.0073]"
